iter	Passed	Remaining
0	0	88
1	1	88
2	2	86
3	3	79
4	4	80
5	5	81
6	6	81
7	7	81
8	8	81
9	8	79
10	9	78
11	10	78
12	11	78
13	12	78
14	13	77
15	14	76
16	15	74
17	16	73
18	17	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	26	60
30	26	59
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	34
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	19
76	64	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
